Key,hashexample
Key1,hashexample1
Key2,hashexample2
mypersonalizedbucket:README.md,7ecfcfb391bf00f290b8280003cd1b36
mypersonalizedbucket:upload_folder/domains/build/file123.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/build/file234.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/build/file345.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/cert/file456.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/cert/file567.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/cert/file678.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/prod/file012.txt,3fa84adb79266773b323a32633e3b52c
mypersonalizedbucket:upload_folder/domains/prod/file789.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/prod/file890.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains/prod/file901.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains1/cert/file456.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains1/cert/file567.txt,d41d8cd98f00b204e9800998ecf8427e
mypersonalizedbucket:upload_folder/domains1/cert/file678.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:C:/My Learning/AWS Solution Architect/AWSAutomate/upload_folder/domains/prod/file012.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:README.md,7ecfcfb391bf00f290b8280003cd1b36
eupersonalbucket:index.html,4a25dff91a6b21cf205406ade39b7bf2
eupersonalbucket:personal/aws/base.html,4a25dff91a6b21cf205406ade39b7bf2
eupersonalbucket:personal/aws/error.html,ca05ba545fd6762243493df6a963d4b8
eupersonalbucket:personal/aws/index.html,4a25dff91a6b21cf205406ade39b7bf2
eupersonalbucket:personal/aws/todo15thMar2020 week.txt,8537de4c1ea3f18de8341938dfb72ba7
eupersonalbucket:upload_folder/domains/build/file123.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/build/file234.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/build/file345.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/cert/file456.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/cert/file567.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/cert/file678.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/prod/file012.txt,3fa84adb79266773b323a32633e3b52c
eupersonalbucket:upload_folder/domains/prod/file789.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/prod/file890.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains/prod/file901.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains1/cert/file456.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains1/cert/file567.txt,d41d8cd98f00b204e9800998ecf8427e
eupersonalbucket:upload_folder/domains1/cert/file678.txt,d41d8cd98f00b204e9800998ecf8427e
